batch_size,epoche,learning_rate,train_acc,train_loss,val_acc,val_loss,test_acc
16,5,0.1,0.033834587782621384,81.41948699951172,0.05970149114727974,58.83169937133789,0.0833333358168602
16,10,0.1,0.030075188726186752,90.5277328491211,0.014925372786819935,80.35736846923828,0.009259259328246117
16,15,0.1,0.03759398311376572,76.40911865234375,0.04477611929178238,63.88507843017578,0.023148147389292717
16,20,0.1,0.030075188726186752,72.57115936279297,0.014925372786819935,79.92269897460938,0.032407406717538834
16,25,0.1,0.03759398311376572,72.56707000732422,0.014925372786819935,84.46210479736328,0.14814814925193787
32,5,0.1,0.030075188726186752,75.91223907470703,0.05970149114727974,54.344295501708984,0.009259259328246117
32,10,0.1,0.01879699155688286,60.172080993652344,0.02985074557363987,58.7071647644043,0.013888888992369175
32,15,0.1,0.03759398311376572,50.13972854614258,0.04477611929178238,60.272613525390625,0.004629629664123058
32,20,0.1,0.030075188726186752,67.80281829833984,0.02985074557363987,79.0425033569336,0.0416666679084301
32,25,0.1,0.033834587782621384,75.8140640258789,0.04477611929178238,79.8013916015625,0.023148147389292717
64,5,0.1,0.030075188726186752,314.1889953613281,0.014925372786819935,249.4429473876953,0.032407406717538834
64,10,0.1,0.060150377452373505,110.52991485595703,0.05970149114727974,90.33747100830078,0.02777777798473835
64,15,0.1,0.030075188726186752,85.39291381835938,0.02985074557363987,71.6078872680664,0.02777777798473835
64,20,0.1,0.05639097839593887,54.16914749145508,0.014925372786819935,53.43806076049805,0.14814814925193787
64,25,0.1,0.03759398311376572,47.23246765136719,0.02985074557363987,55.251712799072266,0.013888888992369175
16,5,0.0001,0.9586465954780579,0.2889973223209381,0.7761194109916687,0.8109597563743591,0.32870370149612427
16,10,0.0001,0.9887217879295349,0.07315558195114136,0.8208954930305481,0.7952141165733337,0.36574074625968933
16,15,0.0001,1.0,0.024749180302023888,0.8208954930305481,0.8279713988304138,0.37037035822868347
16,20,0.0001,1.0,0.01434311456978321,0.8208954930305481,0.8409605026245117,0.375
16,25,0.0001,1.0,0.010274911299347878,0.8208954930305481,0.8939263224601746,0.375
32,5,0.0001,0.9736841917037964,0.5328361392021179,0.7910447716712952,0.8526602983474731,0.3472222089767456
32,10,0.0001,1.0,0.07862672954797745,0.8358209133148193,0.6737290024757385,0.35648149251937866
32,15,0.0001,1.0,0.03454595431685448,0.8208954930305481,0.7392686009407043,0.35648149251937866
32,20,0.0001,1.0,0.02311142161488533,0.8208954930305481,0.7382066249847412,0.35648149251937866
32,25,0.0001,1.0,0.016732754185795784,0.8507462739944458,0.7354112267494202,0.35648149251937866
64,5,0.0001,0.9097744226455688,1.2174171209335327,0.7611940503120422,1.4374889135360718,0.3333333432674408
64,10,0.0001,0.9962406158447266,0.2292480319738388,0.8208954930305481,0.7892225384712219,0.36574074625968933
64,15,0.0001,0.9962406158447266,0.08549356460571289,0.8507462739944458,0.7256243824958801,0.3611111044883728
64,20,0.0001,1.0,0.04388632997870445,0.8208954930305481,0.8643842935562134,0.3611111044883728
64,25,0.0001,1.0,0.030319999903440475,0.8059701323509216,0.9064415693283081,0.35648149251937866
16,5,0.001,0.02631578966975212,3.7380757331848145,0.014925372786819935,3.476609945297241,0.046296294778585434
16,10,0.001,0.015037594363093376,3.624894618988037,0.014925372786819935,3.433452606201172,0.046296294778585434
16,15,0.001,0.02631578966975212,3.774486780166626,0.014925372786819935,3.579824686050415,0.023148147389292717
16,20,0.001,0.011278195306658745,3.700873613357544,0.0746268630027771,3.4732751846313477,0.013888888992369175
16,25,0.001,0.015037594363093376,3.64811110496521,0.014925372786819935,3.438018560409546,0.023148147389292717
32,5,0.001,0.033834587782621384,3.6140329837799072,0.014925372786819935,3.5612664222717285,0.046296294778585434
32,10,0.001,0.02631578966975212,3.541386604309082,0.04477611929178238,3.4220480918884277,0.004629629664123058
32,15,0.001,0.030075188726186752,3.534407138824463,0.014925372786819935,3.4103329181671143,0.046296294778585434
32,20,0.001,0.02255639061331749,3.502471685409546,0.0,3.4480724334716797,0.05092592537403107
32,25,0.001,0.01879699155688286,3.5953707695007324,0.05970149114727974,3.335310697555542,0.013888888992369175
64,5,0.001,0.02631578966975212,3.58476185798645,0.04477611929178238,3.4001591205596924,0.009259259328246117
64,10,0.001,0.04887218028306961,3.5162761211395264,0.05970149114727974,3.516554832458496,0.013888888992369175
64,15,0.001,0.030075188726186752,3.489077091217041,0.05970149114727974,3.439183235168457,0.0833333358168602
64,20,0.001,0.060150377452373505,3.4817042350769043,0.02985074557363987,3.444211959838867,0.02777777798473835
64,25,0.001,0.033834587782621384,3.4811744689941406,0.02985074557363987,3.4920449256896973,0.02777777798473835
16,5,0.01,0.02255639061331749,5.096606731414795,0.02985074557363987,5.59848165512085,0.013888888992369175
16,10,0.01,0.01879699155688286,5.8949875831604,0.02985074557363987,5.564302921295166,0.02777777798473835
16,15,0.01,0.030075188726186752,6.38222074508667,0.014925372786819935,5.767064094543457,0.013888888992369175
16,20,0.01,0.03759398311376572,5.690398216247559,0.02985074557363987,7.355443477630615,0.02777777798473835
16,25,0.01,0.030075188726186752,6.585544109344482,0.04477611929178238,5.42927885055542,0.009259259328246117
32,5,0.01,0.030075188726186752,5.183633804321289,0.014925372786819935,4.402482986450195,0.05092592537403107
32,10,0.01,0.01879699155688286,5.418732166290283,0.014925372786819935,4.7981767654418945,0.023148147389292717
32,15,0.01,0.015037594363093376,4.7918853759765625,0.02985074557363987,4.348245620727539,0.004629629664123058
32,20,0.01,0.02255639061331749,5.621002197265625,0.02985074557363987,5.850527286529541,0.02777777798473835
32,25,0.01,0.04511278122663498,4.928585052490234,0.0,5.323320388793945,0.0
64,5,0.01,0.02255639061331749,5.188986778259277,0.04477611929178238,5.524000644683838,0.03703703731298447
64,10,0.01,0.02631578966975212,5.000570774078369,0.02985074557363987,5.345306396484375,0.013888888992369175
64,15,0.01,0.02631578966975212,4.409671783447266,0.04477611929178238,4.594158172607422,0.05092592537403107
64,20,0.01,0.01879699155688286,4.2656426429748535,0.014925372786819935,4.6578874588012695,0.023148147389292717
64,25,0.01,0.030075188726186752,4.1284565925598145,0.04477611929178238,4.281542778015137,0.0833333358168602
